Оценка,Положительный отзыв,Отрицательный отзыв
9,"Staff went above and beyond to relocate us after issues with our shower. Nothing was too much trouble, they offered to hold our luggage for us after we had checked out. They were always courteous and considerate.",There was some work happening to the door while we were there but they worked around it as best as they could. It's the only mini moan I can think of.
9,The reception staff were very welcoming and all staff were courteous and helpful throughout our stay. The room was very clean and comfortable. The breakfast room was spacious and there was a variety of menu choices.,Отрицательный отзыв отсутствует.
9,The staff were all lovely and very helpful. The hotel was in a lovely position and very good food. We will be back. Thank you,It was all fabulous except we were supposed to have an upgrade but still lovely.
9,Handy for all amenities. Close to tube and bus links resturants and museums,Nothing. Very pleasant stay
8,Hotel was in a great location,Rooms were very small
7,Property is overall ok . Clean and room was reasonable. Dinner at the property is great although not cheap.,One of the ladies at breakfast was rude when it was their fault . We had to discipline her for it . She Spoilt the rest of our stay .
8,Nice clean hotel and most staff were very nice.,"There was no flexibility at check in, we arrived at 2.30pm and had to wait in reception until 3pm before we could get the key for our room.
Bathroom very small."
9,"Very central-staff are always pleasant and helpful 
Well equipped and comfortable rooms",Отрицательный отзыв отсутствует.
9,Lovely and clean hotel close to Earl’s court station. Staff was very nice.,Отрицательный отзыв отсутствует.
8,Breakfast choice was outstanding although no cereal bowls were available when we attended for breakfast at 9am. Asked for one which was given a Turin bowl but light hearted comment by staff special bowls . It served its purpose. Another group member also had to ask for a bowl,Very thing was pleasing
8,"Great location, near Earls Court Station, warm, clean comfortable rooms, excellent value for money",Отрицательный отзыв отсутствует.
7,"Quiet, clean",No proper Wi-Fi.
8,"Perfect location , 3 minutes walk from Earls Court Tube . Lots of pubs and restaurants nearby and a supermarket . Large comfy bed in generous room . Quiet too",Dated decor and tired carpets
9,Положительный отзыв отсутствует.,Renovation work noises
8,Location near tube but short walk to Kensington,Отрицательный отзыв отсутствует.
9,The air conditioning in the room and also the fridge .Staff were very helpful and attentive. Breakfast was good but not included in the price of the room. Comfy beds and room was very clean.,Instant coffee and no coffee machine. The room was a bit pricey considering breakfast wasn't included. Since we booked I saw it advertised for a cheaper price on booking.com which was a bit annoying.
8,"Location & staff amazing , breakfast was average",Breakfast
7,"This hotel is well located close to Earl's Court tube station. The staff were very good,","The room was comfortable , but somewhat dated and furniture not well maintained."
9,Location and friendly staff!,Отрицательный отзыв отсутствует.
7,"Well Located, close to Earls Court Tube, but very much a tourist zone",All just a bit plain - could do with an update
9,The buffet English Breakfast was excellent with a varied choice. The hotel was close to Earls Court tube station and 20 minutes walk to all the museums.,We booked our twin room in January 2024 and were disappointed that the room we chose on booking.com was not the same...Our room was very small but was adequate for our 2 day stay.
9,"Location was perfect as we were attending a festival in Hyde Park. A short walk to Kensington High Street if you needed a few shops, takeaways or pubs. The hotel was clean, comfortable and the staff were very welcoming/friendly",If I had a minor negative it would be that the carpet which lead to the rooms needs replacing
8,"Good location, allowed us to check in on arrival although it was earlier than published check in time",Отрицательный отзыв отсутствует.
8,Location for the purpose of the visit,Overpriced
9,Excellent front desk service. Responded immediately to requests for items to my room. Very friendly staff.,Отрицательный отзыв отсутствует.
9,Service is amazing,No laundry
8,"Clean rooms, lovely shower. Tasty breakfast, helpful staff",Distance and route to room from reception was a challenge for a two-night stay. Had to go via staff routes/ basement door open which felt strange.
8,"The location was ideal for travelling about London but also for Wimbledon. The underground station is a short flat walk away of approx 5-7mins. There are plenty of restaurants, shops and bars nearby but the hotel is in a quiet street within a safe neighbourhood. Room was a decent size and fine for a base.",Breakfast was ok as buffet was sparse but in fairness a local bar that we tried on the 2nd day was less value for money.Room size ok but not one if you wanted to stay for a long time in it.
7,"Breakfast was ok, staff friendly & helpful",Rooms needed updating & breakfast could be warmer
7,"I was upgraded to a bigger room which was extremely comfortable. The bed was perfect to reset for the next business day. If you're travelling for work the hotel had all of the amenities and space for ironing etc and the perfect desk to shoot work out before the day. The location is great to jump onto the picadilly, district or circle line if you are heading into town or to Heathrow.",The bath plug was slightly broken however the shower was perfect.
7,Rooms spacious and clean. Nice location,Breakfast wasn’t great. Not much choice
9,"Location, friendly staff","Breakfast. Staff was very friendly but choice of bread, yoghurt can be better!"
9,"Location, comfortable, spacious room, clean",Отрицательный отзыв отсутствует.
9,The reception staff were very friendly and helpful. The hotel was 2 mins from earls court tube station so excellent location for getting around London. The beds were super comfy,Отрицательный отзыв отсутствует.
9,"Location, early check-in and helpful staff",Nothing in particular
8,Excellent location,Отрицательный отзыв отсутствует.
9,"For our needs the location could not have been better. We were going to the tennis.
The breakfast was good value for what we paid",The very posh wash basin in the bathroom. Not practical. Water splashes easily around
8,Great location clean,Reception staff not friendly or welcoming
9,"Location, exceptionally friendly staff",Room had some type of buzzing noise…kind of got use to it
9,Location - near underground and also nice walk to Hyde Park. Very comfortable room,Air con didn’t go below 19 degrees so room pretty hot
9,"Central location 
A big “Thank You” to Housekeeping as they decorated our bed for our wedding anniversary",Not enough staff on at breakfast as lots of guests. They were very rushed
8,Lovely hotel in a quiet location close to underground,Breakfast was average selection was nice but was sometimes a bit cold
8,The property was clean with easy access to underground to and from Heathrow airport .,The breakfast was not as expected and lacks components taking into consideration religion diversities like all were pork containing and no beef or chicken.
9,"Great location, close to Earl’s Court tube station. The bed was comfortable and the room had a microwave, kettle and mini fridge, as well as air conditioning . The staff were friendly and helpful.",Nothing
9,Положительный отзыв отсутствует.,"My guest food at the restaurant on the 26th evening was not good, but the Male waiter was exceptionally apologetic. He was a credit to your team."
8,"Very close to two tube stations, shops, restaurants. Staff were friendly and let me store my bags before check in and after check out.",Only two breakfast options that were quite expensive. Also no room service
8,"Great location, nice room","Small room, small bed ( but very comfy) 
No window in room"
8,It was a great location to be able to get yo Rarls Court station and you have everything around you.,Polite staff and the location.
9,"Really great location, very friendly staff and very comfortable beds",Отрицательный отзыв отсутствует.
9,"Friendly helpful staff, nothing too much trouble. Great location close to Earls Court tube",Bar closes at 9:30 pm and arrived back at hotel at 11 and no room service available
7,"Lovely large room, super clean, very comfortable.","Breakfast a little disappointing.
Not a huge choice for continental.
So busy staff were struggling to keep up with demand."
8,"Location excellent
Staff friendly",Отрицательный отзыв отсутствует.
9,"Location and very clean and comfortable.
Everything was perfect…. No complaints .",Отрицательный отзыв отсутствует.
9,Great locations and quiet road,Perhaps needs a little update but otherwise excellent.
8,"The facility was very clean and comfortable, staff were so welcoming, nice and helpful, and breakfast was delicious and very good.","Nothing, everything was perfect and very good We were so satified with our experience."
9,"Well situated and close to the tube, nice comfortable room, staff friendly and helpful.
Also great breakfast..",Отрицательный отзыв отсутствует.
9,"The friendly staff, room conditions, comfortable bedding, extra accessories",Отрицательный отзыв отсутствует.
9,Brilliant location great value for money,"To be fair for a one night stay there was nothing I disliked about this hotel.

Staff were really helpful restaurant was great quick check in and out"
9,Location. Very close to the Tube,Staff could have been more helpful with questions on parking our car and suggestions on restaurants.
8,It was clean and the location was great…clear to the tube,The staff were completely uniformed about the area. Asked about restaurants. No idea. Asked about parking across the street. No idea.
8,The bathroom was really nice,The breakfast was average with terrible coffee
8,Room was a very good size. Loved the little bowel of fruit. Comp water and Tea and coffe facilities. Location was fantastic for getting around. Staff nice and Friendly.,Отрицательный отзыв отсутствует.
9,"This was a last minute reservation as we couldn’t stay in the hotel we had booked due to its lack of hygiene. We checked in and the staff were excellent, the room was lovely and clean. The mattress was great and we had a lovely stay.","Only thing I could suggest would be more selection at breakfast. The continual breakfast was fine but there were no mushrooms, fried eggs or hash browns on the English menu. But other than that it was great."
8,"Location excellent, close to earl's court station",Bathroom.is miniscule
9,"Pristine bathroom and shower with useful bath products. Room facing away from the road, so quiet. Location was close to Earl's Court station, but far enough away on a quieter street to be away from busy roads. I enjoyed the full English breakfast.","My room did not have a view. Not a big problem, and I appreciate that this is London, so getting a view is unusual. The desk in the room is quite small, so working on it with my laptop was a little cramped, but this was minor inconvenience."
9,"Very nice room and comfortable bed, good shower. Good air conditioning.","Nothing, we were happy with everything."
9,Excellent,Отрицательный отзыв отсутствует.
9,"We have stayed there before and like its location, facilities, and staff. Breakfast is good and facilities are great.","nothing from hotel.

The Tube stops had some closures that were a pain."
9,Location. Restaurant.,"Tea and milk, etc, were not replenished without asking."
7,"Friendly, competent staff. Excellent restaurant.","Black out curtains did not cover the whole window area BY FAR. So I was woken up at first light.
Bird droppings all over the outside of the window
Only access to entrance by a few steps -- no ramp onthe side for manoeuvring with a suitcase (or if you are handicapped)"
8,"The Hotel is in great location, 5 minutes walk to train, shop and cafes. Room are small compared to Australia hotel size but saying that it was perfect for our stay , bathroom and shower is clean and serviced daily. Staff are welcoming and helpful. I highly recommend the his Hotel to couple.","Location, lean room, comfortable bed"
7,Clean and you can leave luggage,Nothing
9,The location was excellent. Close to the train station and shops. The breakfast was a great bonus!,Some parts of the hotel are looking a bit dated.
8,"Clean, really lovely room for 4 star hotel. Super clean. Just lovely",We had no criticisms
8,"The hotel is in a great location, a short walk to Earl’s Court station, the staff were very friendly and helpful. The room was very clean and the bed very comfortable.",The room was quite small with very little room to walk around the bed.
8,Well equipped room,Отрицательный отзыв отсутствует.
8,The room was fantastic and great views of Earl’s Court. Great location just walking distance to the tube or for a bite to eat. Nice reception and staff were polite.,Отрицательный отзыв отсутствует.
8,Well equipped room,Отрицательный отзыв отсутствует.
8,Roof was quiet and bed was comfortable,"Only 1 teabag between two people 
Shower wasn’t very clean, grouting was mouldy, plug hole grill was black with mould"
8,Room was extremely clean and very spacious,Nothing
9,"Breakfast was great, everything you could possibly want for breakfast. Bed was very comfortable. Staff were very friendly and helpful. Great place to stay.",There was nothing that I didn’t like.
8,The breakfast was really good,I like everything really
9,One morning we had breakfast n the hot food was cold barely lukewarm.,Отрицательный отзыв отсутствует.
7,The staff were very helpful and friendly. The dinner was very nice. My husband wasn't keen on the breakfast but mine was lovely.,The TV in the room didn't work but was sorted out.
8,"Staff were friendly, the rooms clean and it was a great price. The location was perfect for our trip to the Royal Albert Hall and the station is just at the top of the road.","Our room was quite small, even though we’d paid for a superior double. There are only two electrical sockets in the room and one USB charge point. This is not enough. The light switch system is confusing, with some switches doing nothing! 
Breakfast is very limited for vegans and vegetarians. I’m vegetarian and the only thing I could have was cereal and bread based products. I don’t eat eggs so the cooked breakfast available to me would have been baked beans, tomato and hash browns. Also there is no soya/oat etc milk readily available but it was brought to me when I asked. Service is very slow, although the staff are helpful and pleasant."
9,"Cleanliness, good location",Small rooms
8,"Convenient location to public transport, restaurants and shops.","There was a bad stench as soon as you entered the corridor on level 4 and in our room 418. Very disappointing. 
Otherwise all was good and clean.
Thank you."
8,"Location perfect for our trip, friendly staff, very clean & tidy. Rooms well thought out, great to see a close up mirror in bathroom. Great to have a dressing table with plugs and mirror with light. Very pleased with the room.",The air conditioning wasn’t switched on until we asked but it was working correctly when we returned to the room.
8,Good breakfast. Helpful reception staff. Thank you for accommodating our late check out request. This was appreciated. Good size room. Good location for our trip.,N/a
9,"Location and cleanliness. Staff including duty manager were very polite and helpful. I recall exceptionally helpful staff- Desmond , Raka and Abdul who made this stay easy and hassle free.",Breakfast could be better. It was standard basic.
9,"Covinient place,easy access.",Staff too mamy staff in your face.during breakfast time
7,"Location
Cleanliness 
So close to tube
Fresh fruit in lobby 24 hours a day
Kettle, microwave and fridge","WiFi did not work
Ground floor and stairwells lost light, electricity
Shower was weak and would not warm up
Breakfast lacked good coffee, porridge, plain yogurt, fat free milk"
7,Quiet. Good comfy room,WiFi down. TV not working. Electricity off down stairs. Dangerous in stairwells.
8,"the location was great, close to underground and also walking distance to the park and city. The room was small but comfortable. Bathroom facilities were lovely and I enjoyed the daily room make up.","There was a large stain above our bed on the roof and the wall, looked like food or something had splashed and was not cleaned. Made the room feel small and dirty."
9,"Helpful staff, pleasant room, comfortable temperature, large bed, overall good facilities.",Отрицательный отзыв отсутствует.
8,"Very close to tube station
Clean and comfortable",Nothing everything was good
7,"The room is very well planned, with all the basics for a pleasant (comfy bed, great TV) and a practical stay (they have a good recharge USB entries on the desk), and with good amenities for hygiene",The shower and bathroom had some technical issues with draining water and regulating the shower's water temperature
9,The room was well maintained comfy beds new carpet in room fruit and water as well as tea/coffee facilities to make own drinks,every thing was ok
8,Location,"Street noise, when window was close it was better"
9,Very happy with our stay location was great,I had sent email for earlier check-in but had no reply from hotel.The 3 pm checkin is late for those who have had long flights
8,We didnt have breakfast but loved the location felt so safe Staff couldnt have been nicer. Room was small but you would expect that in London Really clean and bathroom was beautiful. Fab shower. Even got an umbrella to go out Saturday night cause it was very raining! Exceptional service,Nothing really
9,Положительный отзыв отсутствует.,Needed hooks for clothes.
8,Excellent location friendly staff,View from bedroom was a brick wall
8,Comfortable and the staff were nice,Nothing
9,"Very convenient location, friendly staff, beautiful hotel, comfortable beds!",Just found it funny we had 2 phones in our room and none of them worked!
9,"Fantastic location in Kensington, close to many restaurants, shops and a very short walk to the underground. We arrived earlier than check in time and were able to check in early which was a huge help, staff were very helpful, hotel very clean and comfortable.",Отрицательный отзыв отсутствует.
8,Good location with easy access to subway.,Nothing really
9,Staff are incredibly helpful,Отрицательный отзыв отсутствует.
9,Good location and amazing Indian Restaurant. Staff helps with luggage and organising any small things you may request for.,A little dated in terms of fittings.
9,"It was in a great location, and it was minutes from the nearest tube. Good breakfast and clean and tidy.",Отрицательный отзыв отсутствует.
8,It was fairly priced and a nice facility,"The staff at the front desk made us feel strained. We did not feel welcome. The conversation was strained. They were professional, but not very friendly."
9,I did get an upgrade but the room was very spacious and equipped with a full size bath. The location is excellent for Kensington and what I paid was excellent value for money. The restaurant turned out to be a hidden gem offering exquisitely spiced Indian dishes.,There wasn't much of a view. I was hoping for an a la carte breakfast but only because buffets lead me to eat too much!
9,The location was excellent as it was very near Earls Court Tube Station. The staff were very friendly and helpful. The room was very clean and comfortable.,My friend and I found it difficult to work out how to put the heating on and off.
8,"The breakfast was lovely! Room was really clean and neat. Staff were very friendly and courteous. The hotel was a 2 minute walk from the tube station, which is really convenient.","The WIFI was limited in my room, didn't reach the far end of the room."
9,"Raka, Renula and Abdul did excellent job hosting all the needs, very friendly and helpful people, thank you very much!!",Отрицательный отзыв отсутствует.
9,"Great location close to Earl’s Court Station on the Piccadilly Line. Quiet street, no disturbance at night.",Отрицательный отзыв отсутствует.
9,The room was very amply positioned well it had comfortable furnishing with a relaxing chair after a hard day at work lovley clean bathroom with a few extras.,"The elevator was small and at breakfast time we had to walk down 4 floors on the stairs and also when we were leaving ,luckily we packed light."
8,"Very generous sized bedroom, sound proofed, bathroom well equipped, very clean. Staff very friendly and helpful.",Breakfast was average
8,Положительный отзыв отсутствует.,"No bar to relax in evening time
no pool spa"
9,"Location, facilities and friendly staff.",Nothing
8,Location,Отрицательный отзыв отсутствует.
8,Great location with friendly staff,Отрицательный отзыв отсутствует.
8,"The room was a bit tiny, location great, restaurant fantastic, lovely breakfast.
Very friendly and helpful staff.","I didn’t like the size of the room, very cramped.
The hotel smelt a bit musty and damp in a few areas."
8,Very convenient for getting around central London. Nice breakfast,The lower ground rooms were quite dark as no daylight.
9,"Very generous facilities in the room. Lovely restaurant on site. Very easy to walk & get ariund by public transport from the hotel. Staff are outstanding. Friendly, oolite professional.",Furnishings could do with updating.
9,"Location, easy access to the tube station","Lots of noise from the backside of the hotel at night, when we discussed this the hotel, we were offered another room immediately"
8,Location was so good… staff very helpful and room was great,Отрицательный отзыв отсутствует.
9,"The location 
The staff",Отрицательный отзыв отсутствует.
8,Great location for exploring the city. Some great local pubs and restaurants. Nice size room/bathroom.,We were woken early in the morning by noise from the plumbing. But it has to be expected in a building of that age.
8,able to check in earlier than anticipated and staff were very accommodating and pleasant. The room was clean and hotel location good for tube travel. Breakfast was good although day two was busy at the time and staff appears to struggle to clear tables and accommodated guests.,none
9,Breakfast was lovely. Such a good price for the value of the hotel. The bed was so comfy. Loads of channels on the TV too.,The room was boiling when we got there and the AC wasn't great. The shower was scary and difficult to work but did the job
9,The room is nice though a bit small. Love the bathroom floor is heated! Location is great and within reach to many attractions without the need to change trains. Convenient too for food and grocery shopping.,"Not much space to put stuff, especially the toilet. There are empty space so can make use of it by putting some shelves to put toiletries."
8,"The staff are friendly and helpful, even did a telephone check in to our room to make sure everything was ok. 
The bed was so comfortable and the shower was powerful but brilliant with all the necessaties such as shampoo, conditioner, body wash and toothbrush and tooth paste. 
The bar/resturaunt is modern and clean and reasonably priced too. 
The hotel is close to the underground station within a 5 minute walk, 15 minute walking to get onto the kensington high street.",Отрицательный отзыв отсутствует.
7,"Nice, cosy, clean- pricey but proportionate for the area, few little extras in the room including a kettle, mini fridge and microwave","Breakfast wasn’t great, cheap and cheerful but ok if you’re not too choosy (or vegan!) and there was plenty of it"
8,"Great location, excellent value for money. The staff were very friendly. The rooms were warm, clean and comfortable.","It would have been nice to have had the water in the room replaced, otherwise no complaints!!"
8,Close to Earl’s Court Underground Station. Quiet street. On site restaurant is great.,Can here every door shut loudly.
7,"Great location. Close to Earls Court tube station. Great breakfast. Clean, tidy and comfortable.",Отрицательный отзыв отсутствует.
9,N/A,The lift was out of service - although cases were carried up to our room on the 4 th floor ( and down again) there was no notice given of the situation( other member of my party had a rib injury which made the stair climbing more challenging)
9,Very pleasant staff and comfortable room with basic coffee tea etc. Very clean.,Receptionists were.good but didn't offer any drinks etc while we waited for our room or suggestions of places to visit I think they assumed we'd been before and knew the area so would have been better if they were more.proactive. Also cooekd breakfast was served at our table top soon after sitting down as we prefer to have fruit and yoghurt etc first so it was cool by the time we ate it. They didn't seem to understand that we preferred our full English hot!
8,"Close to the tube station , nice and clean , parking is available close to hotel",The lift was out of order
9,Very nice stay. Friendly welcoming staff and comfortable bed,Couldn’t open window even ajar
9,Not too far from the tube or high street,Nothing
8,Close to the tube station.,Отрицательный отзыв отсутствует.
8,All facilities were very good.,Отрицательный отзыв отсутствует.
9,Location is excellent. Staff are really friendly. This was our second time staying for going to the rugby and we loved it.,Отрицательный отзыв отсутствует.
9,The staff are so friendly and helpful and the rooms are comfortable with everything you need for a weekend stay.,Отрицательный отзыв отсутствует.
9,"The staff were excellent kind and attentive.
The room was nice , clean and had all what we needed. A lovely touch from the staff was to make up the bed with a lovely heart and rose petals for our anniversary. It was lovely and much appreciated.",Отрицательный отзыв отсутствует.
9,Very clean and in a good location. Breakfast good. Asked if we could have an upgrade as special occasion and they kindly obliged.,The reception staff were really nice and very helpful. But the waitress at breakfast by contrast was quite abrupt.
9,"Close to tube station, shops and various takeaways and restaurants. Exceptionally clean. Staff were friendly and welcoming. Bedroom clean, spacious and comfortable. 

Plenty of choice for breakfast, fresh pastries, fruit, meat and cheese. Cereals and cooked items.",Perfect stay
8,"Very clean and smart interior. Very kind and welcoming staff. 
An excellent central location for my needs.",I had a very cold night as I didn’t understand the heating/air conditioning instruction and I had no heating in my room. When I reported this in the morning I was told I could have phoned the night staff and had it adjusted from a central control room. I will know for a future visit!
9,We had everything we needed at the hotel and its location very convenient,Отрицательный отзыв отсутствует.
8,Good location and friendly staff,Breakfast staff not organised
7,"The staff was friendly and accommodating, and the cleanliness of the room, including the bedsheets, was commendable. However, there were a couple of issues that affected my stay.

Firstly, I noticed that the air in the hotel felt moldy, possibly due to rogue walls hidden behind the wallpaper. This was a concern for me, as I value clean and fresh air quality. It would be advisable for the hotel management to address this issue and ensure that the air circulation in the rooms and hallways is improved.

Secondly, the room was quite noisy. I could hear the sound of water running loudly from the drain, which was a bit disruptive. Additionally, the walls seemed to lack sufficient soundproofing, as I could hear noises from neighboring rooms, such as sneezing or doors being opened. This affected my sleep.
 I must say that the bed was comfortable, and the room was clean. The friendly and helpful attitude of the hotel staff was also a positive aspect of my experience.",Отрицательный отзыв отсутствует.
9,Excellent stay - staff are super friendly - room was incredible - the breakfast selection was great too!,N/A
7,Superb location every thing where it should be,"As i had a large medium bed, they should have stated this was 2 single mattress put together and not one big mattress, this was very uncomfortable for myself, also having air on on would create a loud buzzing noise which would take an hour for noise to go off."
8,Положительный отзыв отсутствует.,Beds uncomfortable
8,Very close to everything. Nice serviced rooms great breaky,I liked everything about the property.
9,"lovely clean rooms, close to amenities.",being on the ground floor
9,The staff at the front desk were amazing. Check in was super quick.,Everything was perfect.
9,"Great location, super staff, and amenities great. Also used the restaurant as I always do, and it was really very good.","The wi fi ever since we have been coming is not great. I had a conference call and could not complete it, even from the business centre."
7,The bed was comfy the food was nice.rooms were clean,The heating was so bad l felt cold it was only good in the bathroom
7,"Highly recommended if you're looking for a good and affordable place to stay! Friendly staff, clean and near to underground!",It can be a bit cold in the basement rooms because of the old windows! (depending on which room you get)
8,"I was very pleased with our stay. The staff were extremely friendly and helpful. The room was tidy and large enough, and the bed comfortable. We didn't have breakfast at the hotel, so I can't comment on the food. The location is very convenient with an underground station, pubs and restaurants within walking distance.",Отрицательный отзыв отсутствует.
7,The location is excellent,The rooms were very small and the double bed was a very small double bed!!
9,Good location and grand hotel.,Options for breakfast is rather limited.
9,"This hotel on Hogarth Road is conveniently located near Earl's Court Underground Station and is about a 6-minute walk, or 150 metres away. Also, The Royal Albert Hall is 1 mile (1.6 km) away, and the Earl's Court Exhibition Centre is not too far. The area has many restaurants, shops, and pubs, as expected. The staff were friendly and helpful. The room was quite big, clean and bright. Overall, it was a pleasant stay.","The bed could have been more comfortable and a bit of a surprise. The breakfast was adequate but below expectations. The lift was out of order, which was an inconvenience carrying a heavy suitcase. The staircase areas look old and dirty and in need of some rejuvenation."
7,The location is perfect! The room was clean and tidy even though the property otherwise was a little run down.,"The bathroom + the toilet - so small a space! A big person would hardly fit in. Also, the breakfast was not worth the money."
9,spaccious rooms godd facilities and good location near to Tube station,London could be cheaper!
9,The staff were lovely and really made us feel welcome,All good
9,Clean big comfortable room that had everything we needed. Gave us nice valentines decorations.,Отрицательный отзыв отсутствует.
9,"The staff were very friendly, it was very clean and have everything we needed",The lift was not working and we were on the 3rd floor so a lot of stairs to climb
9,Location,The staff were very rude I explained I had booked a room with breakfast and even though I feel that was bookings .com that made the mistake they couldn’t and wouldn’t help the manager told me to take it up with bookings .com I was very upset and he couldn’t have cared less
9,Good location,Lift not working
7,Location,Lift didn’t work
9,"I booked this hotel for 2 nights. All the staffs are polite and helpful. They have ""EXCELLENT"" customer service, most especially to Mr. Sam and Ms Maria. 
Beautiful reception area. Comfortable with great staff and restaurant/room service. Stylish room, very clean, embellished with plentiful amenities, comfortable bed, very quiet at night ( from outside the hotel and within the hotel). Ideally located 3 mins. from Earls court tube station and near to two manila supermarket, Jollibee and restaurants. Definitely will comeback.",Отрицательный отзыв отсутствует.
9,"Location was fab 3 min walk to tube station, room was upgraded free of charge",Breakfast was OK but could have been better
9,Location,Non
8,"Great hotel. Comfortable bed and a quiet, decent-sized room. We liked the availability of different electrical power options in the room. The staff were friendly, welcoming and attentive. We would stay here again.","The bathroom needs renovation the side of the vanity is severely water-damaged and the shower stall could do with a de-scaling/ deep clean. However, I am sure that this will be part of the next update that the hotel will carry out, so not a deal breaker."
8,"Location was fabulous, being only a 3 minute walk from Earl's Court Station. The staff and reception were very accommodating, helpful and friendly. The room was clean, comfortable, with a fridge and microwave and tea/coffee station. Breakfast was substantial, with variety. We really enjoyed our weekend there.",The wifi was intermittent and not very strong. Worked well down in reception.
9,"The property was very clean, tidy & lovely and warm. The staff were friendly & helpful. We could not pick a fault, excellent value for money.",Отрицательный отзыв отсутствует.
8,"Close to the tube and other transport, plenty of restaurants and bars , nice area in general. Staff where really helpful and friendly, breakfast was lovely as well.",No parking .
8,Положительный отзыв отсутствует.,Poorly lit for dressing up!
7,"Staff on the door and Reception were welcoming and friendly. The room was very clean, beds were lovely and comfortable. Location was perfect for our stay. Breakfast was good but could do with a little improvement.","Felt that breakfast service could do with some improvement: staff showed us to a table but then left us wondering what to do as no one explained to us straight away that it was a buffet and that we had to go help our self. Crockery was not replenished I had to ask for plates and cutlery. I had to ask for milk for my coffee as this was not provided when the coffee brought in a teapot ? was brought to my table. There was only melon provided and I felt there should be more variety of fruit provided, what if you do not like melon !"
7,Location,Asking 3x for the morning tea and coffee
7,Location and price. Slight room upgrade.,"Kettle didn’t work in room 01. Other than that it was good, water in the evenings wasn’t as warm as the morning."
8,"Room great, clean, adapters for EU chargers etc. Free water, tea, toiletries etc. Amazing location.",Отрицательный отзыв отсутствует.
9,"Everything was good ,staff rooms hotel .",I have been charged twice for breakfasts and no refund received . Not having a buffet break fast bar for hot food is a miss .
7,"Room, location and amenities were all very good.","The website states that the bar is until midnight but when we returned both nights it was closed from 10.30.
Also, the breakfast staff were a quite abrupt and not particularly helpful."
9,"Hotel was excellent for our 4-night stay. 5 min walk to metro (green-district line which is helpful to many attractions).
Room and the whole hotel smelled very nice, very clean, every day refill of shower gel and amenities. Hot water all the time and nice ambiance.
Immediate response to hair blower issue from maintenance staff.
Nice view of the neighborhood, many shops and cafes around.","The reception staff can be a bit more helpful and friendly. I had to call them to answer my request for the room, but eventually they gave us room in 3rd floor and not in the basement."
8,The location near Earls Court LU but tucked away from traffic and people. Bed very comfortable. There was an issue with the room and this was resolved by management. Free coffee in the foyer was a nice touch.,Nothing
9,We enjoyed the spacious room and feel of the hotel. Friendly and welcoming and clean and very reasonable and not far from the station. Very happy and would stay again and recommend.,"Only drawback was the phone signal , from the basement room it wasn't able to connect to make calls. I used the Internet but strange the phone signal was a no go..."
9,Staff arranged an upgraded room after we told them the booking was a gift from our family during our overseas trip. A lovely touch.,Отрицательный отзыв отсутствует.
9,The property was in a residential area and we felt safe. The room was clean and appreciated the extra toiletries as there was 3 of us.,Отрицательный отзыв отсутствует.
9,The staff was helpful,Отрицательный отзыв отсутствует.
9,"Comfortable, friendly and convenient. Location is great",Breakfast food could be improved but OK
8,It was clean and one of the first hotels I’ve been to that actually had a microwave in the room the location was great,The bed was slightly uncomfortable for my partner however I had no complaints
