adjusted_labels,cleaned_text
7,the facility wa very clean and comfortable staff were so welcoming nice and helpful and breakfast wa delicious and very good nothing everything wa perfect and very good we were so satified with our experience
8,well situated and close to the tube nice comfortable room staff friendly and helpful also great breakfast отрицательный отзыв отсутствует
8,the friendly staff room condition comfortable bedding extra accessory отрицательный отзыв отсутствует
8,brilliant location great value for money to be fair for a one night stay there wa nothing i disliked about this hotel staff were really helpful restaurant wa great quick check in and out
8,location very close to the tube staff could have been more helpful with question on parking our car and suggestion on restaurant
7,it wa clean and the location wa greatclear to the tube the staff were completely uniformed about the area asked about restaurant no idea asked about parking across the street no idea
7,the bathroom wa really nice the breakfast wa average with terrible coffee
7,room wa a very good size loved the little bowel of fruit comp water and tea and coffe facility location wa fantastic for getting around staff nice and friendly отрицательный отзыв отсутствует
8,this wa a last minute reservation a we couldnt stay in the hotel we had booked due to it lack of hygiene we checked in and the staff were excellent the room wa lovely and clean the mattress wa great and we had a lovely stay only thing i could suggest would be more selection at breakfast the continual breakfast wa fine but there were no mushroom fried egg or hash brown on the english menu but other than that it wa great
7,location excellent close to earl court station bathroomis miniscule
8,pristine bathroom and shower with useful bath product room facing away from the road so quiet location wa close to earl court station but far enough away on a quieter street to be away from busy road i enjoyed the full english breakfast my room did not have a view not a big problem and i appreciate that this is london so getting a view is unusual the desk in the room is quite small so working on it with my laptop wa a little cramped but this wa minor inconvenience
8,very nice room and comfortable bed good shower good air conditioning nothing we were happy with everything
8,excellent отрицательный отзыв отсутствует
8,we have stayed there before and like it location facility and staff breakfast is good and facility are great nothing from hotel the tube stop had some closure that were a pain
8,location restaurant tea and milk etc were not replenished without asking
6,friendly competent staff excellent restaurant black out curtain did not cover the whole window area by far so i wa woken up at first light bird droppings all over the outside of the window only access to entrance by a few step no ramp onthe side for manoeuvring with a suitcase or if you are handicapped
7,the hotel is in great location 5 minute walk to train shop and cafe room are small compared to australia hotel size but saying that it wa perfect for our stay bathroom and shower is clean and serviced daily staff are welcoming and helpful i highly recommend the his hotel to couple location lean room comfortable bed
6,clean and you can leave luggage nothing
8,the location wa excellent close to the train station and shop the breakfast wa a great bonus some part of the hotel are looking a bit dated
7,clean really lovely room for 4 star hotel super clean just lovely we had no criticism
7,the hotel is in a great location a short walk to earl court station the staff were very friendly and helpful the room wa very clean and the bed very comfortable the room wa quite small with very little room to walk around the bed
7,well equipped room отрицательный отзыв отсутствует
7,the room wa fantastic and great view of earl court great location just walking distance to the tube or for a bite to eat nice reception and staff were polite отрицательный отзыв отсутствует
7,well equipped room отрицательный отзыв отсутствует
7,roof wa quiet and bed wa comfortable only 1 teabag between two people shower wasnt very clean grouting wa mouldy plug hole grill wa black with mould
7,room wa extremely clean and very spacious nothing
8,breakfast wa great everything you could possibly want for breakfast bed wa very comfortable staff were very friendly and helpful great place to stay there wa nothing that i didnt like
7,the breakfast wa really good i like everything really
8,one morning we had breakfast n the hot food wa cold barely lukewarm отрицательный отзыв отсутствует
6,the staff were very helpful and friendly the dinner wa very nice my husband wasnt keen on the breakfast but mine wa lovely the tv in the room didnt work but wa sorted out
7,staff were friendly the room clean and it wa a great price the location wa perfect for our trip to the royal albert hall and the station is just at the top of the road our room wa quite small even though wed paid for a superior double there are only two electrical socket in the room and one usb charge point this is not enough the light switch system is confusing with some switch doing nothing breakfast is very limited for vegan and vegetarian im vegetarian and the only thing i could have wa cereal and bread based product i dont eat egg so the cooked breakfast available to me would have been baked bean tomato and hash brown also there is no soyaoat etc milk readily available but it wa brought to me when i asked service is very slow although the staff are helpful and pleasant
8,cleanliness good location small room
7,convenient location to public transport restaurant and shop there wa a bad stench a soon a you entered the corridor on level 4 and in our room 418 very disappointing otherwise all wa good and clean thank you
7,location perfect for our trip friendly staff very clean tidy room well thought out great to see a close up mirror in bathroom great to have a dressing table with plug and mirror with light very pleased with the room the air conditioning wasnt switched on until we asked but it wa working correctly when we returned to the room
7,good breakfast helpful reception staff thank you for accommodating our late check out request this wa appreciated good size room good location for our trip na
8,location and cleanliness staff including duty manager were very polite and helpful i recall exceptionally helpful staff desmond raka and abdul who made this stay easy and hassle free breakfast could be better it wa standard basic
8,covinient placeeasy access staff too mamy staff in your faceduring breakfast time
6,location cleanliness so close to tube fresh fruit in lobby 24 hour a day kettle microwave and fridge wifi did not work ground floor and stairwell lost light electricity shower wa weak and would not warm up breakfast lacked good coffee porridge plain yogurt fat free milk
6,quiet good comfy room wifi down tv not working electricity off down stair dangerous in stairwell
7,the location wa great close to underground and also walking distance to the park and city the room wa small but comfortable bathroom facility were lovely and i enjoyed the daily room make up there wa a large stain above our bed on the roof and the wall looked like food or something had splashed and wa not cleaned made the room feel small and dirty
8,helpful staff pleasant room comfortable temperature large bed overall good facility отрицательный отзыв отсутствует
7,very close to tube station clean and comfortable nothing everything wa good
6,the room is very well planned with all the basic for a pleasant comfy bed great tv and a practical stay they have a good recharge usb entry on the desk and with good amenity for hygiene the shower and bathroom had some technical issue with draining water and regulating the shower water temperature
8,the room wa well maintained comfy bed new carpet in room fruit and water a well a teacoffee facility to make own drink every thing wa ok
7,location street noise when window wa close it wa better
8,very happy with our stay location wa great i had sent email for earlier checkin but had no reply from hotelthe 3 pm checkin is late for those who have had long flight
7,we didnt have breakfast but loved the location felt so safe staff couldnt have been nicer room wa small but you would expect that in london really clean and bathroom wa beautiful fab shower even got an umbrella to go out saturday night cause it wa very raining exceptional service nothing really
8,положительный отзыв отсутствует needed hook for clothes
7,excellent location friendly staff view from bedroom wa a brick wall
7,comfortable and the staff were nice nothing
8,very convenient location friendly staff beautiful hotel comfortable bed just found it funny we had 2 phone in our room and none of them worked
8,fantastic location in kensington close to many restaurant shop and a very short walk to the underground we arrived earlier than check in time and were able to check in early which wa a huge help staff were very helpful hotel very clean and comfortable отрицательный отзыв отсутствует
7,good location with easy access to subway nothing really
8,staff are incredibly helpful отрицательный отзыв отсутствует
8,good location and amazing indian restaurant staff help with luggage and organising any small thing you may request for a little dated in term of fitting
8,it wa in a great location and it wa minute from the nearest tube good breakfast and clean and tidy отрицательный отзыв отсутствует
7,it wa fairly priced and a nice facility the staff at the front desk made u feel strained we did not feel welcome the conversation wa strained they were professional but not very friendly
8,i did get an upgrade but the room wa very spacious and equipped with a full size bath the location is excellent for kensington and what i paid wa excellent value for money the restaurant turned out to be a hidden gem offering exquisitely spiced indian dish there wasnt much of a view i wa hoping for an a la carte breakfast but only because buffet lead me to eat too much
8,the location wa excellent a it wa very near earl court tube station the staff were very friendly and helpful the room wa very clean and comfortable my friend and i found it difficult to work out how to put the heating on and off
7,the breakfast wa lovely room wa really clean and neat staff were very friendly and courteous the hotel wa a 2 minute walk from the tube station which is really convenient the wifi wa limited in my room didnt reach the far end of the room
8,raka renula and abdul did excellent job hosting all the need very friendly and helpful people thank you very much отрицательный отзыв отсутствует
8,great location close to earl court station on the piccadilly line quiet street no disturbance at night отрицательный отзыв отсутствует
8,the room wa very amply positioned well it had comfortable furnishing with a relaxing chair after a hard day at work lovley clean bathroom with a few extra the elevator wa small and at breakfast time we had to walk down 4 floor on the stair and also when we were leaving luckily we packed light
7,very generous sized bedroom sound proofed bathroom well equipped very clean staff very friendly and helpful breakfast wa average
7,положительный отзыв отсутствует no bar to relax in evening time no pool spa
8,location facility and friendly staff nothing
7,location отрицательный отзыв отсутствует
7,great location with friendly staff отрицательный отзыв отсутствует
7,the room wa a bit tiny location great restaurant fantastic lovely breakfast very friendly and helpful staff i didnt like the size of the room very cramped the hotel smelt a bit musty and damp in a few area
7,very convenient for getting around central london nice breakfast the lower ground room were quite dark a no daylight
8,very generous facility in the room lovely restaurant on site very easy to walk get ariund by public transport from the hotel staff are outstanding friendly oolite professional furnishing could do with updating
8,location easy access to the tube station lot of noise from the backside of the hotel at night when we discussed this the hotel we were offered another room immediately
7,location wa so good staff very helpful and room wa great отрицательный отзыв отсутствует
8,the location the staff отрицательный отзыв отсутствует
7,great location for exploring the city some great local pub and restaurant nice size roombathroom we were woken early in the morning by noise from the plumbing but it ha to be expected in a building of that age
7,able to check in earlier than anticipated and staff were very accommodating and pleasant the room wa clean and hotel location good for tube travel breakfast wa good although day two wa busy at the time and staff appears to struggle to clear table and accommodated guest none
8,breakfast wa lovely such a good price for the value of the hotel the bed wa so comfy load of channel on the tv too the room wa boiling when we got there and the ac wasnt great the shower wa scary and difficult to work but did the job
8,the room is nice though a bit small love the bathroom floor is heated location is great and within reach to many attraction without the need to change train convenient too for food and grocery shopping not much space to put stuff especially the toilet there are empty space so can make use of it by putting some shelf to put toiletry
7,the staff are friendly and helpful even did a telephone check in to our room to make sure everything wa ok the bed wa so comfortable and the shower wa powerful but brilliant with all the necessaties such a shampoo conditioner body wash and toothbrush and tooth paste the barresturaunt is modern and clean and reasonably priced too the hotel is close to the underground station within a 5 minute walk 15 minute walking to get onto the kensington high street отрицательный отзыв отсутствует
6,nice cosy clean pricey but proportionate for the area few little extra in the room including a kettle mini fridge and microwave breakfast wasnt great cheap and cheerful but ok if youre not too choosy or vegan and there wa plenty of it
7,great location excellent value for money the staff were very friendly the room were warm clean and comfortable it would have been nice to have had the water in the room replaced otherwise no complaint
7,close to earl court underground station quiet street on site restaurant is great can here every door shut loudly
6,great location close to earl court tube station great breakfast clean tidy and comfortable отрицательный отзыв отсутствует
8, the lift wa out of service although case were carried up to our room on the 4 th floor and down again there wa no notice given of the situation other member of my party had a rib injury which made the stair climbing more challenging
8,very pleasant staff and comfortable room with basic coffee tea etc very clean receptionist weregood but didnt offer any drink etc while we waited for our room or suggestion of place to visit i think they assumed wed been before and knew the area so would have been better if they were moreproactive also cooekd breakfast wa served at our table top soon after sitting down a we prefer to have fruit and yoghurt etc first so it wa cool by the time we ate it they didnt seem to understand that we preferred our full english hot
7,close to the tube station nice and clean parking is available close to hotel the lift wa out of order
8,very nice stay friendly welcoming staff and comfortable bed couldnt open window even ajar
8,not too far from the tube or high street nothing
7,close to the tube station отрицательный отзыв отсутствует
7,all facility were very good отрицательный отзыв отсутствует
8,location is excellent staff are really friendly this wa our second time staying for going to the rugby and we loved it отрицательный отзыв отсутствует
8,the staff are so friendly and helpful and the room are comfortable with everything you need for a weekend stay отрицательный отзыв отсутствует
8,the staff were excellent kind and attentive the room wa nice clean and had all what we needed a lovely touch from the staff wa to make up the bed with a lovely heart and rose petal for our anniversary it wa lovely and much appreciated отрицательный отзыв отсутствует
8,very clean and in a good location breakfast good asked if we could have an upgrade a special occasion and they kindly obliged the reception staff were really nice and very helpful but the waitress at breakfast by contrast wa quite abrupt
8,close to tube station shop and various takeaway and restaurant exceptionally clean staff were friendly and welcoming bedroom clean spacious and comfortable plenty of choice for breakfast fresh pastry fruit meat and cheese cereal and cooked item perfect stay
7,very clean and smart interior very kind and welcoming staff an excellent central location for my need i had a very cold night a i didnt understand the heatingair conditioning instruction and i had no heating in my room when i reported this in the morning i wa told i could have phoned the night staff and had it adjusted from a central control room i will know for a future visit
8,we had everything we needed at the hotel and it location very convenient отрицательный отзыв отсутствует
7,good location and friendly staff breakfast staff not organised
6,the staff wa friendly and accommodating and the cleanliness of the room including the bedsheets wa commendable however there were a couple of issue that affected my stay firstly i noticed that the air in the hotel felt moldy possibly due to rogue wall hidden behind the wallpaper this wa a concern for me a i value clean and fresh air quality it would be advisable for the hotel management to address this issue and ensure that the air circulation in the room and hallway is improved secondly the room wa quite noisy i could hear the sound of water running loudly from the drain which wa a bit disruptive additionally the wall seemed to lack sufficient soundproofing a i could hear noise from neighboring room such a sneezing or door being opened this affected my sleep i must say that the bed wa comfortable and the room wa clean the friendly and helpful attitude of the hotel staff wa also a positive aspect of my experience отрицательный отзыв отсутствует
8,excellent stay staff are super friendly room wa incredible the breakfast selection wa great too 
6,superb location every thing where it should be a i had a large medium bed they should have stated this wa 2 single mattress put together and not one big mattress this wa very uncomfortable for myself also having air on on would create a loud buzzing noise which would take an hour for noise to go off
7,положительный отзыв отсутствует bed uncomfortable
7,very close to everything nice serviced room great breaky i liked everything about the property
8,lovely clean room close to amenity being on the ground floor
8,the staff at the front desk were amazing check in wa super quick everything wa perfect
8,great location super staff and amenity great also used the restaurant a i always do and it wa really very good the wi fi ever since we have been coming is not great i had a conference call and could not complete it even from the business centre
6,the bed wa comfy the food wa nicerooms were clean the heating wa so bad l felt cold it wa only good in the bathroom
6,highly recommended if youre looking for a good and affordable place to stay friendly staff clean and near to underground it can be a bit cold in the basement room because of the old window depending on which room you get
7,i wa very pleased with our stay the staff were extremely friendly and helpful the room wa tidy and large enough and the bed comfortable we didnt have breakfast at the hotel so i cant comment on the food the location is very convenient with an underground station pub and restaurant within walking distance отрицательный отзыв отсутствует
6,the location is excellent the room were very small and the double bed wa a very small double bed
8,good location and grand hotel option for breakfast is rather limited
8,this hotel on hogarth road is conveniently located near earl court underground station and is about a 6 minute walk or 150 metre away also the royal albert hall is 1 mile 16 km away and the earl court exhibition centre is not too far the area ha many restaurant shop and pub a expected the staff were friendly and helpful the room wa quite big clean and bright overall it wa a pleasant stay the bed could have been more comfortable and a bit of a surprise the breakfast wa adequate but below expectation the lift wa out of order which wa an inconvenience carrying a heavy suitcase the staircase area look old and dirty and in need of some rejuvenation
6,the location is perfect the room wa clean and tidy even though the property otherwise wa a little run down the bathroom the toilet so small a space a big person would hardly fit in also the breakfast wa not worth the money
8,spaccious room godd facility and good location near to tube station london could be cheaper
8,the staff were lovely and really made u feel welcome all good
8,clean big comfortable room that had everything we needed gave u nice valentine decoration отрицательный отзыв отсутствует
8,the staff were very friendly it wa very clean and have everything we needed the lift wa not working and we were on the 3 rd floor so a lot of stair to climb
8,location the staff were very rude i explained i had booked a room with breakfast and even though i feel that wa booking com that made the mistake they couldnt and wouldnt help the manager told me to take it up with booking com i wa very upset and he couldnt have cared less
8,good location lift not working
6,location lift didnt work
8,i booked this hotel for 2 night all the staff are polite and helpful they have excellent customer service most especially to mr sam and m maria beautiful reception area comfortable with great staff and restaurantroom service stylish room very clean embellished with plentiful amenity comfortable bed very quiet at night from outside the hotel and within the hotel ideally located 3 min from earl court tube station and near to two manila supermarket jollibee and restaurant definitely will comeback отрицательный отзыв отсутствует
8,location wa fab 3 min walk to tube station room wa upgraded free of charge breakfast wa ok but could have been better
8,location non
7,great hotel comfortable bed and a quiet decentsized room we liked the availability of different electrical power option in the room the staff were friendly welcoming and attentive we would stay here again the bathroom need renovation the side of the vanity is severely waterdamaged and the shower stall could do with a descaling deep clean however i am sure that this will be part of the next update that the hotel will carry out so not a deal breaker
7,location wa fabulous being only a 3 minute walk from earl court station the staff and reception were very accommodating helpful and friendly the room wa clean comfortable with a fridge and microwave and teacoffee station breakfast wa substantial with variety we really enjoyed our weekend there the wifi wa intermittent and not very strong worked well down in reception
8,the property wa very clean tidy lovely and warm the staff were friendly helpful we could not pick a fault excellent value for money отрицательный отзыв отсутствует
7,close to the tube and other transport plenty of restaurant and bar nice area in general staff where really helpful and friendly breakfast wa lovely a well no parking
7,положительный отзыв отсутствует poorly lit for dressing up
6,staff on the door and reception were welcoming and friendly the room wa very clean bed were lovely and comfortable location wa perfect for our stay breakfast wa good but could do with a little improvement felt that breakfast service could do with some improvement staff showed u to a table but then left u wondering what to do a no one explained to u straight away that it wa a buffet and that we had to go help our self crockery wa not replenished i had to ask for plate and cutlery i had to ask for milk for my coffee a this wa not provided when the coffee brought in a teapot wa brought to my table there wa only melon provided and i felt there should be more variety of fruit provided what if you do not like melon
6,location asking 3 x for the morning tea and coffee
6,location and price slight room upgrade kettle didnt work in room 01 other than that it wa good water in the evening wasnt a warm a the morning
7,room great clean adapter for eu charger etc free water tea toiletry etc amazing location отрицательный отзыв отсутствует
8,everything wa good staff room hotel i have been charged twice for breakfast and no refund received not having a buffet break fast bar for hot food is a miss
6,room location and amenity were all very good the website state that the bar is until midnight but when we returned both night it wa closed from 1030 also the breakfast staff were a quite abrupt and not particularly helpful
8,hotel wa excellent for our 4 night stay 5 min walk to metro greendistrict line which is helpful to many attraction room and the whole hotel smelled very nice very clean every day refill of shower gel and amenity hot water all the time and nice ambiance immediate response to hair blower issue from maintenance staff nice view of the neighborhood many shop and cafe around the reception staff can be a bit more helpful and friendly i had to call them to answer my request for the room but eventually they gave u room in 3 rd floor and not in the basement
7,the location near earl court lu but tucked away from traffic and people bed very comfortable there wa an issue with the room and this wa resolved by management free coffee in the foyer wa a nice touch nothing
8,we enjoyed the spacious room and feel of the hotel friendly and welcoming and clean and very reasonable and not far from the station very happy and would stay again and recommend only drawback wa the phone signal from the basement room it wasnt able to connect to make call i used the internet but strange the phone signal wa a no go
8,staff arranged an upgraded room after we told them the booking wa a gift from our family during our overseas trip a lovely touch отрицательный отзыв отсутствует
8,the property wa in a residential area and we felt safe the room wa clean and appreciated the extra toiletry a there wa 3 of u отрицательный отзыв отсутствует
8,the staff wa helpful отрицательный отзыв отсутствует
8,comfortable friendly and convenient location is great breakfast food could be improved but ok
7,it wa clean and one of the first hotel ive been to that actually had a microwave in the room the location wa great the bed wa slightly uncomfortable for my partner however i had no complaint
8,club room bathrobescomplimentary fruit plate wineand big bed noisy air conditioning
8,great location and a we went a a family for a birthday trip they upgraded my parent room petal on the bed drink and chocolate a very sweet touch staff were lovely too nothing to do with the property but a room nearby wa smoking weed which filled the whole corridor up and we could smell in our room
7,timo lugar отрицательный отзыв отсутствует
8,the staff had decorated our room and left u complimentary wine and chocolate a id advised them it wa our special anniversary the breakfast wa lovely and the staff very helpful sam wa superb at always being available and helpful we were able to store our luggage on the day of departure until we were ready to leave nothing couldnt fault it
7,good location good value although it wa a tuesday in january only one elevator that i could see
7,good location friendly staff breakfast extra cost but good отрицательный отзыв отсутствует
7,breakfast wa good room hadnt been cleaned properly reception offered a change of room but we were on our way out bar closed at 930
6,the room wa spotless very close to underground station because breakfast wasnt included i wa told that breakfast wa 12 per person but it cost three of u 56
7,location is excellent a very short walk from earl court station and lot of shopscafes nearby lovely area of london helpful staff the room wa small but had everything you needed and tastefully decorated
6,room wa clean and comfortable had a room on the lower floor which wa quite spacious could hear a lot of noise from the corridor a people moved outside
8,we like the location of the hotel and the easy access to the centre of london we found the room comfortable the staff are welcoming we will recommend the hotel to friend breakfast is varied and copious stayed twice and can think of negative thing
8,so close to tube station bed were only double and not king size
6,lovely soft bed and room wa well appointed good breakfast only issue wa we needed to cancel two day before due to rail engineer work and tube strike so we had to cancel sunday plan and they declined to accommodate i would have been happy to take a credit and rebook so felt that wa a little unreasonable a we would have stayed on a new date so kinda had to stay on a night when our plan were messed up and didnt need to stay
8,the hotel wa lovely and the staff were very friendly and helpful very pristine decor hotel supplied exalent bathroom toiletry the location is great for earl court tube station had evening meal in resteraunt which wa delicious curry plus bar drink were better value than some of the local pub solo traveller but paid full price for double room
8,положительный отзыв отсутствует nothing
8,yes отрицательный отзыв отсутствует
6,good location decent shower good staff room wa a bit warm a sign saying luggage cant be left at the hotel when checking out
7,положительный отзыв отсутствует they did not offer a luggage storage service
7,comfortable for a weekend break no issue with the room nor staff very friendly and try to accommodate where they can no luggage storage disappointing we had luggage to check in a we were heading off to see a matinee theatre performance but a sign on the desk advised that there were no storage facility i can imagine that this is a frustrating for the staff a much a the resident and would expect management to come up with a solution quickly there must be a spare room that can be allocated a a luggage store on site this could put potential customer off
8,from check in to check out all staff were attentive ensuring our stay wa wonderful we really enjoyed dining in the restaurant for breakfast and dinner the food wa reasonably priced and staff were amazing отрицательный отзыв отсутствует
8,very friendly staff room wa clean with great facility including a microwave breakfast wa good again with friendly and helpful staff a little far out of town
7,we were able to book the room in very short notice due to the original hotel we booked wa in a horrific state so entering our room at park grand with a clean room nice bed good breakfast and good service wa a nice experience the pressure from shower hose couldve been better
7,cleanliness friendless of staff staff uniform very smart breakfast good selection i had fried egg very well prepared the toaster worked well lovely hot water even when we got in quite late microwave a good idea although this time we did not require it would have liked a curtain for the bathroom window instead of just frosted glass we did not have luggage to leave after check out but it must be difficult for those who need to leave luggage
8,earl court wa a wonderful location the hotel wa very convenient and the staff wa wonderful the room were listed a soundproof but i wa chastised for being too loud i would have been more careful but the room wa advertised a soundproof
7, i misunderstood the definition of private entrance
7,lovely quiet street close to everything we wanted our room wa excellent room 101 very clean with comfortable bed and spacious bathroom the breakfast wa very good the staff were friendly we booked this hotel last january a we were going to the albert hall looking at recent review we were a bit concerned but i have to say that we were very pleased with the hotel the bar and dining room are all connected and it not particularly traditional compared to some of the hotel in the area but thats the style of the interior of the hotel
